close,open,galaxy_score,alt_rank,correlation_rank,social_volume,social_dominance,average_sentiment,url_shares,tweets,tweet_spam,news,market_dominance,volatility,time
11501.13384,11548.746691,64.0,70,2.7,7025,44.91400805575091,3.7,1518,5964,3032,38,59.67236404854732,0.01017969,1597158000
11437.769591,11527.678552,65.0,76,2.9,7168,43.48459111866052,3.7,1564,5983,2799,44,59.11245651715028,0.01129632,1597161600
11502.610907,11453.202831,66.0,58,2.9,7214,44.9106642594783,3.6,2001,6095,2055,38,59.32731798613021,0.01204312,1597165200
11461.641333,11442.142969,64.5,77,2.5,6341,44.60780865283152,3.6,1431,5320,1913,26,59.36257261091973,0.01294665,1597168800
11408.64129,11434.140564,64.5,67,2.3,6524,44.90329685456673,3.7,1330,5495,1796,41,59.41407608704324,0.0137639,1597172400
11223.24143,11309.641914,65.0,47,2.3,5719,43.02264349657715,3.6,1699,4573,1285,19,59.91259207416944,0.01541232,1597176000
11311.362102,11214.747485,66.0,52,2.8,5516,45.66225165562913,3.6,1392,4451,1259,37,59.39620264996164,0.01636029,1597179600
11364.148806,11336.869195,65.5,42,2.5,4956,44.44843049327354,3.6,1216,4041,1213,25,59.4387379063031,0.01696958,1597183200
11405.44682,11428.804713,63.5,62,2.5,4557,43.63688595231256,3.6,1111,3708,1231,26,59.38378506904328,0.01725757,1597186800
11338.368875,11360.091237,65.0,42,2.6,3922,41.78563818453015,3.6,1071,3027,1508,46,57.65684013054481,0.0177377,1597190400
11366.654685,11398.302813,66.0,64,2.6,3877,43.61079865016873,3.6,1109,3006,1296,27,59.42570956361371,0.01798788,1597194000
11257.391556,11282.399774,67.0,47,2.6,4288,45.21775809343035,3.7,1412,3528,1742,21,59.66775336176572,0.01856588,1597197600
11376.666691,11340.378281,67.0,55,2.8,4269,46.37193134912014,3.7,1524,3433,1523,20,59.27046727920457,0.01902499,1597201200
11323.047768,11323.231089,68.0,40,2.9,3799,43.18026824278245,3.7,1068,3060,1746,24,59.63754456569195,0.0195886,1597204800
11259.35456,11218.801041,68.5,57,2.9,4238,46.35747101290746,3.7,1020,3486,1822,20,59.80450204976441,0.02013042,1597208400
11329.903427,11328.176628,68.5,53,3.0,4679,49.38258575197889,3.7,1238,3731,1814,27,59.55838126346526,0.02025309,1597212000
11445.5767,11413.274465,67.5,61,3.5,5171,46.21916338934573,3.6,1471,4072,2051,26,59.34208823203164,0.02010767,1597215600
11435.201453,11438.355236,61.0,66,3.6,5375,44.85895509931564,3.6,1451,4363,2089,26,59.46714179725622,0.0198788,1597219200
11494.978829,11478.575097,65.5,53,3.6,4859,42.18614342767842,3.6,1322,3873,1791,42,59.29150922097392,0.01961178,1597222800
11540.517819,11544.364972,81.0,82,3.6,5369,42.53010139416983,3.6,1410,4331,1786,31,59.11061254143056,0.01923756,1597226400
11479.737305,11503.304638,73.5,79,4.0,5741,42.81452755611903,3.6,1384,4808,2077,37,59.14294391022928,0.01890029,1597230000
11514.036221,11517.283061,72.5,109,3.9,5354,41.95595956429747,3.6,1480,4298,2448,44,59.08103649627299,0.01850861,1597233600
11578.126199,11561.895046,74.0,125,4.0,5141,37.41630276564775,3.6,1343,4141,3024,46,58.8608010949111,0.01811756,1597237200
11614.051754,11552.645412,75.0,81,4.1,5933,34.97406272105636,3.6,1450,4841,2920,41,59.28221213944109,0.01776222,1597240800
11595.675611,11600.368995,74.0,105,4.0,7269,39.15432265014813,3.6,2680,5442,3526,45,59.08436974225489,0.01740863,1597244400
11553.065917,11570.875066,73.5,71,4.0,7156,37.09501840236379,3.7,2484,5251,2481,34,59.12230707187855,0.01680528,1597248000
11473.841378,11569.235214,70.5,70,3.7,7297,37.53021653037083,3.7,2449,5368,2372,26,59.06765659121126,0.01624971,1597251600
11517.585183,11534.100152,70.0,89,3.4,5817,36.32446609216935,3.7,1592,4557,1653,20,59.35783015503353,0.01536411,1597255200
11580.916656,11587.44319,71.5,81,3.6,5153,36.25809175344779,3.6,1318,4149,1547,12,59.39774575754692,0.01468394,1597258800
11568.096685,11563.720614,71.5,58,3.7,4984,34.69544030630004,3.6,1349,4026,1416,12,59.05608552012677,0.01407304,1597262400
